# Undirected graph (each unordered pair of nodes is saved once): agm.txt
# Nodes: 40 Edges: 109
# NodeId	NodeId
1	2
1	8
1	19
1	23
2	6
2	7
2	16
2	18
2	21
2	23
2	24
3	6
3	10
3	12
3	16
4	15
4	16
5	13
5	14
5	19
5	20
6	8
6	23
6	25
7	8
7	18
7	23
8	11
8	22
9	12
9	17
9	18
10	11
10	16
10	21
10	24
12	15
12	22
13	18
14	16
14	24
15	22
16	18
16	22
16	24
16	25
16	36
17	23
17	28
17	30
17	32
18	19
18	20
18	24
18	28
18	32
18	35
18	36
18	37
19	20
19	21
19	24
19	25
19	34
19	38
19	39
20	21
20	23
20	32
21	24
21	25
21	30
21	31
21	33
21	34
22	23
22	24
22	29
22	30
22	34
22	35
22	38
23	25
23	28
23	34
24	28
24	37
25	28
25	31
25	34
26	28
27	38
27	40
28	29
28	31
28	33
28	34
28	37
28	39
28	40
29	30
30	32
33	35
34	40
35	36
35	40
36	39
36	40
39	40
