# Undirected graph (each unordered pair of nodes is saved once): output.txt
# Undirected Erdos-Renyi random graph.
# Nodes: 1000 Edges: 5000
# NodeId	NodeId
0	72
0	98
0	156
0	187
0	204
0	251
0	272
0	379
0	613
0	635
0	640
1	88
1	183
1	188
1	397
1	517
1	957
2	89
2	108
2	164
2	206
2	241
2	258
2	336
2	699
2	858
2	949
2	964
3	46
3	210
3	299
3	356
3	451
3	488
3	522
3	626
3	719
3	926
4	38
4	46
4	72
4	249
4	282
4	361
4	461
4	516
4	601
4	633
4	815
5	12
5	26
5	67
5	124
5	176
5	239
5	321
5	539
5	624
5	802
5	910
5	920
5	931
6	13
6	309
6	471
6	503
6	566
6	822
6	836
6	879
6	932
6	960
7	245
7	363
7	378
7	647
7	648
7	671
7	723
7	923
7	999
8	16
8	17
8	558
8	573
8	589
8	750
8	771
8	842
8	920
9	115
9	255
9	312
9	330
9	388
9	443
9	471
9	541
9	581
9	656
9	755
9	773
9	859
9	974
10	138
10	178
10	265
10	353
10	423
10	489
10	575
10	612
10	688
10	732
10	983
11	131
11	137
11	354
11	468
11	486
11	515
11	544
11	564
11	625
11	633
11	705
11	776
11	856
11	908
12	108
12	197
12	381
12	560
12	622
12	631
12	971
13	38
13	69
13	104
13	116
13	381
13	412
13	448
13	511
13	595
13	644
13	785
13	969
14	168
14	280
14	346
14	425
14	462
14	492
14	545
14	618
15	115
15	234
15	256
15	428
15	637
15	647
15	692
15	706
15	865
15	879
15	945
16	49
16	128
16	135
16	470
16	479
16	532
16	648
16	765
16	801
16	907
17	65
17	190
17	223
17	603
17	902
17	952
17	974
18	234
18	295
18	352
18	421
18	543
18	604
18	607
18	637
18	669
18	758
19	146
19	262
19	268
19	430
19	442
19	485
19	590
19	859
20	225
20	416
20	441
20	478
20	561
20	596
20	604
20	883
20	936
21	27
21	226
21	263
21	310
21	397
21	526
21	634
21	929
22	26
22	257
22	343
22	346
22	453
22	460
22	475
22	543
22	545
22	570
22	582
22	592
22	597
22	679
23	79
23	188
23	265
23	301
23	335
23	454
23	472
23	535
23	740
23	942
23	981
24	151
24	252
24	369
24	382
24	456
24	522
24	653
24	667
24	751
24	818
24	900
24	902
24	919
24	983
25	66
25	114
25	115
25	148
25	176
25	250
25	273
25	294
25	297
25	349
25	380
25	440
25	491
25	527
25	563
25	570
25	621
25	690
25	755
25	786
25	849
25	867
25	906
25	974
26	49
26	163
26	430
26	621
26	644
27	41
27	328
27	467
27	575
27	586
27	594
27	641
27	646
27	692
27	716
27	754
27	892
27	906
27	958
28	155
28	274
28	373
28	442
28	454
28	600
28	660
28	848
28	857
29	44
29	306
29	384
29	443
29	753
29	781
29	798
29	873
30	158
30	168
30	326
30	513
30	547
30	634
30	745
30	772
30	926
30	943
30	944
30	953
31	131
31	215
31	351
31	372
31	374
31	691
31	753
31	757
31	801
31	876
31	899
31	930
32	210
32	269
32	356
32	590
32	753
32	770
32	913
33	104
33	114
33	159
33	166
33	182
33	185
33	252
33	359
33	644
33	851
33	864
33	925
34	75
34	91
34	211
34	231
34	304
34	369
34	377
34	379
34	381
34	435
34	456
34	567
34	679
35	63
35	104
35	161
35	587
35	632
36	262
36	365
36	419
36	560
36	598
36	694
36	746
36	777
36	983
37	145
37	338
37	429
37	443
37	465
37	616
37	669
37	746
37	997
38	225
38	255
38	281
38	348
38	428
38	568
38	582
38	591
38	599
38	629
38	721
38	758
39	59
39	342
39	399
39	443
39	804
39	836
39	964
40	55
40	71
40	110
40	130
40	243
40	284
40	310
40	377
40	408
40	452
40	642
40	699
40	784
41	81
41	132
41	321
41	407
41	419
41	441
41	476
41	537
41	646
41	649
41	657
41	686
42	126
42	162
42	170
42	354
42	671
42	775
42	841
42	967
43	71
43	121
43	188
43	259
43	371
43	400
43	492
43	529
43	768
43	843
43	943
44	466
44	472
44	512
44	525
44	689
44	816
44	877
44	905
44	981
45	186
45	412
45	585
45	611
45	619
45	688
45	948
46	142
46	165
46	198
46	308
46	355
46	474
46	794
46	898
47	73
47	212
47	258
47	391
47	411
47	475
47	764
47	971
47	973
48	82
48	126
48	210
48	492
48	554
48	623
48	833
48	859
48	878
48	896
48	905
49	114
49	279
49	397
49	466
49	483
49	498
49	704
49	894
49	921
49	926
50	162
50	332
50	485
50	580
50	990
51	73
51	107
51	179
51	348
51	440
51	488
51	849
51	877
52	92
52	236
52	271
52	366
52	462
52	472
52	501
52	504
52	579
52	604
52	695
52	860
53	54
53	150
53	336
53	408
53	413
53	428
53	745
53	884
53	894
53	932
54	88
54	157
54	207
54	396
54	435
54	622
54	629
54	665
54	741
54	999
55	308
55	393
55	421
55	559
55	681
55	744
55	815
55	839
55	948
55	959
56	111
56	128
56	313
56	358
56	364
56	386
56	459
56	608
56	629
56	841
56	988
57	74
